rank,oracle_call,score,smiles
20,9768,0.785362,COc1ccc(OC)c(-n2c(CNC(=O)c3cccnc3)nn(C)c2=O)c1
21,10195,0.785133,[CH2-][C+]([O-])N([C-]([O-])CS[c+]1[n-][c+]2[cH+][cH-][cH+][cH-][c+]2[c-]([O-])n1[C+]1[CH+][CH-][CH+][CH-][CH+]1)[c-]1[cH+][cH-][cH+][cH+][n-]1
22,11039,0.784781,NC(=O)Cn1cc(-c2nnc(SCC(=O)Nc3nncs3)n2N)c2cc(F)ccc21
23,3029,0.784027,Cn1[c+]([O-])[c+](C[c+]2[cH-][cH+][cH-][cH+][c-]2N[CH+][CH-]N2CCN([c+]3[cH-][cH+][c-](F)[cH+][cH-]3)CC2)[c-]([O-])n(C)[c+]1[O-]
24,10515,0.783302,O=S(=O)(Nc1nc2ccccc2nc1N1CCN(CCO)CC1)c1ccccc1
25,9959,0.783032,Nc1ccc(NC(=O)C(=O)c2ccc3ccccn23)cc1S(N)(=O)=O
26,10639,0.782998,NC(=O)C1=C(N)/C(=C(\[O-])N(CC(=O)NCc2ccccc2)Cc2ccco2)[S+]=N1
27,3639,0.782540,Cn1c(=O)c2c(SCC(=O)NC[C@H]3CCCO3)nc(Cc3ccccc3)nc2n(C)c1=O
28,3497,0.782340,COc1ccccc1N1CCN(C(=O)[C@@H](CO)NS(=O)(=O)c2ccccc2)CC1
29,10036,0.781822,NC(=O)c1cc[s+][c-]1NC(=O)COC(=O)C[s+]1c2n[n-]c3ccccc3n1-2
30,7983,0.781414,Cc1cc(C)n(CCNC(=O)CNC(=O)COc2cccc3cccnc23)n1
31,3877,0.781069,COc1cccc(CN2CCNC(=O)[C@H]2CC(=O)N(C)Cc2cnccn2)c1OC
32,4238,0.780774,N#C/C(=C\c1c(N2CCN(C(=O)c3ccco3)CC2)nc2ccccn2c1=O)C(N)=O
33,7155,0.780559,C[C-]1[CH+][CH-][CH+][C+](N[C+]([O-])[CH+][C+]([C+]([O-])N(C)[c-]2[cH+][cH-][c+](-n3[cH-][n-][n-][n-]3)[c-](C)[cH+]2)[c-]2[cH+][n-][c+]3[cH-][cH+][cH-][cH+][c+]3[n-]2)[CH+]1.[H+]
34,361,0.779955,COc1ccccc1CN1C(=O)[C@@H]2C(=C1[O-])[C@@H](CC(N)=O)N[C@]21C(=O)Nc2c(C)cccc21.[H+]
35,9648,0.779955,O=C(C/[S+]=c1\[n-]nnn1C[CH-]CC(=O)Nc1ccccc1)NNC(=O)c1ccccc1O.[H+]
36,5853,0.778678,COc1cn(-c2ccccc2)nc1C(=O)NC1=[S+]C(C)=C(C)/C1=C(\N)[O-]
37,10692,0.778158,[CH2-][C@@H](O)C/[N+](=C/C(=O)OCC(=O)Nc1cccc(OC)c1)S(=O)(=O)c1ccccc1[N+](=O)[O-]
38,3193,0.777429,[H]/N=c1\c(=C\c2ccc(OC(=O)c3ccco3)c(OC)c2)c([O-])nc2[s+]nc(S(=O)(=O)C(C)C)n12
39,4621,0.777253,COc1ccc(/C=C/C(=O)Nc2cc(=O)n(C)c(=O)n2C)c(OC)c1OC
40,11008,0.776636,NNC(=O)CCn1nc(Cc2cccnc2)c2ccccc2c1=O
41,5302,0.775100,[CH2-]CCN(C[CH-]C(=O)Nc1ccc2c(c1)=[O+]CC[O+]=2)S(=O)(=O)c1cccc2cccnc12
42,9222,0.775089,COCCNc1nc2c(c(=O)[nH]c(=O)n2C)n1C[C@H](O)COc1ccccc1
43,7185,0.774836,COc1ccc(OC)c(N2C(=O)NC(=O)/C(=C/NCc3cccnc3)C2=O)c1
44,2276,0.774354,CCC(=O)Nc1ccccc1-c1nnn(CC(=O)N2CCN(C(=O)c3ccco3)CC2)n1
45,10365,0.774349,N[C+]1[CH-][CH+][CH-][CH+][C+]1[C+]([O-])N[N-][C-](N)[c-]1[c+]([O-])n(C[c+]2[cH-][cH+][cH-][cH+][cH-]2)[c-]2[cH+][cH-][cH+][cH-][c+]12
46,1628,0.773699,CO[c+]1[cH-][cH+][c-](OC)[cH+][c-]1[N-][C+]([O-])CCCN[C+]([O-])C(C)N1[C+]([O-])[c+]2[cH-][cH+][cH-][cH+][c-]2[C+]1[O-]
47,9190,0.773600,C=[N+](C/N=C/[O-])S(=O)(=O)c1ccc2nc(-c3cccs3)cc(C(=O)N3CCOCC3)c2c1
48,3200,0.773055,COc1ccc(-c2ccc(=O)n(CC(=O)Nc3nnnn3C)n2)cc1OC
49,11063,0.773055,COc1cc([N+](=O)[O-])ccc1NC(=O)COC(=O)CCNS(=O)(=O)c1ccc2[nH]c(=O)oc2c1
50,1639,0.772730,COc1cccc(OCC(=O)Nc2ccccc2C(=O)N2CCS(=O)(=O)CC2)c1
51,6000,0.772258,COc1ccccc1NC(=O)CN(c1ccccc1OC)S(=O)(=O)c1cc(=O)[nH]cn1
52,8497,0.771529,COc1cccc(NC(=O)C/[S+]=c2\nc(N)cc([O-])[nH]2)c1
53,10137,0.770946,O=C(COC(=O)CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccccn1
54,9537,0.770831,CO[c-]1[cH+][cH-][cH+][cH-][c+]1N[c-]1[n-][c+](NCCN(C)C)[c+]2[n-][cH+][n-][c+]2[n-]1
55,3067,0.770719,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccccn2)c1-c1ccccc1
56,3832,0.770146,COCCN(C(=O)CSc1nnc(Cc2cccc(F)c2)n1N)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
57,9427,0.769781,O=C(CNC(=O)N1CC(=O)Nc2ccccc21)NCc1ccco1
58,445,0.769691,O=c1cc(S(=O)(=O)C[C@@H]2CSc3nc4ccccc4c(=O)n32)cc[nH]1
59,3773,0.769556,O=C(C/[S+]=C1/N=[NH+]C(c2cccnc2)=N1)Nc1cc(N([O-])[O-])ccc1F
60,1657,0.769146,CCOc1cccc(-c2c(C(=O)N/N=C/c3ccncc3)nnn2-c2nonc2N)c1
61,608,0.768968,COc1cc(OC)cc(OC(=O)C/[S+]=c2\nc3n(C)c(=O)n(C)c([O-])c-3n2C)c1
62,4257,0.768656,COc1ccc(C(=O)OCC(=O)Nc2cccc(S(=O)(=O)N3CCOCC3)c2)c(OC)c1
63,11059,0.768470,Nc1cc(N)nc(SCC(=O)Nc2ccccc2C(=O)NC2CC2)n1
64,9487,0.768376,COCCn1c(SCC(N)=O)nc2c([nH]c3ccccc32)c1=O
65,3862,0.767630,Nc1ccc(-c2nc3c(c(=O)[nH]c(=O)n3Cc3ccccc3)n2CCO)cn1
66,5488,0.767630,O=C(NCc1ccccc1)C(=O)NC[C@H]1OCCCN1S(=O)(=O)c1cccs1
67,5585,0.767408,COCCN([c+]1[c+]([O-])[nH][c+]([O-])n(CC(C)C)[c-]1N)[C-]([O-])C[S+]1CN2[C+]([N-]C([c+]3[cH-][cH+][c-](Cl)[cH+][cH-]3)[C+]2[O-])[c-]2[cH+][cH-][cH+][n-][c+]21
68,8347,0.767382,COc1ccc(C(=O)NNC(=O)C/[S+]=c2\nc(O)c(-c3ccc4c(c3)OCO4)c([O-])[nH]2)cc1
69,4990,0.767111,CN(CCc1ccco1)S(=O)(=O)c1ccc(/N=C/c2c(O)n(C)c(=O)n(C)c2=O)cc1
70,7290,0.767111,COc1cccc(-n2c(O)nnc2-c2nn(S(=O)(=O)c3ccccc3)cnc2=O)c1
71,993,0.766856,COc1cc(OC)cc(N(CC(=O)NC[C@@H]2CCCO2)C(=O)CNS(=O)(=O)c2ccccc2)c1
72,9439,0.766482,O=C(CNS(=O)(=O)c1cc[c-]c2n[s+]n[c-]12)NCc1ccco1.[H+]
73,5417,0.766423,N[c-]1[c+]([CH-][c+]2[cH-][cH+][c-](SC[c+]3[cH-][cH+][cH-][cH+][cH-]3)o2)[c+]([O-])[n-][c+]2s[c+](C[C+]([O-])N3CCOCC3)[n-]n21
74,8762,0.766303,[CH2-][C@H](N)CCCOc1cc(-c2ccccc2)c(C(=O)N[C@H](CC[C@@H](C/[NH+]=C/N)S(=O)(=O)c2ccccc2)C(=O)O)cn1
75,1984,0.766284,COc1ccc(S(=O)(=O)N2CCC[C@@H]2C(=O)NCc2cccnc2O)cc1
76,10370,0.765820,NNC(=O)c1cc(NCCCCCCC(=O)Nn2cnc3ccccc3c2=O)[nH]n1
77,2914,0.765723,COc1ccc(C(=O)OCC(=O)NCc2ccccc2)cc1S(=O)(=O)N1CCOCC1
78,1138,0.765655,CC(=O)C1=C(NS(=O)(=O)c2ccc(C(N)=O)cc2)/C(=C(/[O-])Nc2ccn(-c3ccccc3)n2)C(C)=[S+]1
79,4592,0.765458,O=C(N/N=C/c1c(O)n(Cc2ccccc2)c(=O)[nH]c1=O)c1ccncc1
80,6565,0.765123,COc1cccc(-n2nnnc2SCC(=O)N2CCN(C(=O)c3ccco3)CC2)c1
81,8891,0.765058,NCC(=O)N/C=C/C(=O)c1cnc(NCc2ccccc2)nc1N
82,7561,0.764661,NS(=O)(=O)c1cccc(NC(=O)CSc2ccccn2)c1
83,2656,0.764614,COc1cc2c(=O)n(CCC(N)=O)c(=O)n(C)c2cc1OC
84,4372,0.764574,COc1ccccc1C(=O)NCC(=O)NNC(=S)NC(=O)c1ccco1
85,7698,0.764512,CO[c-]1[cH+][cH-][c+](N2[N-][C+]([C+]([O-])NC[C+]([O-])NCCCCC[C+]([O-])[O-])[c-]3[cH+][cH-][cH+][cH-][c+]3[C-]2[O-])[c-](OC)[cH+]1
86,10625,0.764512,CO[c+]1[cH-][c+]([C-]([O-])N[C+]([S-])NN[C+]([O-])[CH+][CH-][CH+]N2[C-]([S-])S[C+]([CH+][c-]3[cH+][cH-][cH+][cH-][cH+]3)[C-]2[O-])[cH-][cH+][c-]1OC
87,7588,0.764277,COc1c2ccc(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)cc2nn1C
88,4048,0.764117,O=C(NCCN1CCOCC1)c1ccc(S(=O)(=O)NCc2ccco2)cc1
89,6330,0.764117,Cn1c(=O)[nH]c(=O)c2c1nc(Nc1ccccc1)n2CC(=O)O
90,10784,0.764117,Cn1c(=O)c2ncn(CC(=O)N/N=C3\C(=O)Nc4ccccc43)c2n(C)c1=O
91,7157,0.763648,Nc1nonc1OCCN1CCN(c2cccc([N+](=O)[O-])c2)CC1
92,10275,0.763395,COC(=O)CN/C(N)=N/CC(=O)c1cccc(OC(=O)c2ccccc2OC)c1
93,7189,0.763290,O=C(CSc1n[nH]c(-c2ccncc2)n1)Nc1cccc(S(=O)(=O)N2CCOCC2)c1
94,3481,0.762818,CCOc1ccc(NC(=O)C[S@@+]([O-])c2conc2N)cc1
95,4135,0.762787,COCCn1c(SCC(=O)OCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C
96,10310,0.762787,CCN(C(=O)CN1CCOCC1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
97,9750,0.762675,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccco2)c1-c1ccccc1
98,825,0.762531,COC(=O)Cn1c(CN2CCN(c3cccc(Cl)c3)CC2)nc2c1c(=O)n(C)c(=O)n2C
99,9544,0.762390,CN1CCN([C-]([O-])[C][C][C][C][c+]2[c+]([S+2]([O-])([O-])N(C)C)[c+]3[cH+][cH+][cH+][cH-][c+]3o[c-]2[O-])CC1.[H+]
100,8671,0.761848,O=C(NCCN1CCOCC1)C(=O)NCc1nc2ccccc2[nH]1
